,ASIN,name,price,ratings,ratings_count,details_link,rating_num
0,B0BZKD9TMX,"Espresso Machines with Steamer, 20 Bar Pump Espresso and Cappuccino latte Maker, Espresso Machine Easy to Use for Home Barista, 1350W, Stainless Steel",169.99,4.5 out of 5 stars,43,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfYXRmOjMwMDAwNDU4MjY0MTQwMjo6MDo6&url=%2FILAVIE-Espresso-Machines-Cappuccino-Stainless%2Fdp%2FB0BZKD9TMX%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.5
1,B0BY1QDYW8,"SHARDOR Espresso Machine, 20 Bar Expresso Coffee Machines with Milk Frother Steam Wand, Manual Latte & Cappuccino Maker, Temperature Display, 60 Oz Removable Water Tank, 1350W, Stainless Steel",159.99,4.5 out of 5 stars,15,https://www.amazon.com/SHARDOR-Cappuccino-Temperature-Removable-Stainless/dp/B0BY1QDYW8/ref=sr_1_10?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-10,4.5
2,B0BGNG7Y3Q,"Espresso Machine 15 Bar, Espresso and Cappuccino Machine with Milk Frother, Espresso Maker with Steamer, Digital Touch Screen Coffee Machine with 50 oz Water Tank",80.99,4.6 out of 5 stars,1,https://www.amazon.com/Kwister-Espresso-Machine-Cappuccino-Frother/dp/B0BGNG7Y3Q/ref=sr_1_16?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-16,4.6
3,B0BPSDHNWT,"Espresso Machine, Stainless Steel Espresso Machine with Milk Frother for Latte, Cappuccino, Machiato,for Home Espresso Maker, 1.8L Water Tank, 20 Bar",169.99,5.0 out of 5 stars,4,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDE3NDk0NDkyMzg5ODo6MDo6&url=%2FSUMSATY-Espresso-Stainless-Cappuccino-Machiato%2Fdp%2FB0BPSDHNWT%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,5.0
4,B0C58JJKH8,"Espresso Coffee Machine, 20 Bar Espresso Machine with Steamer, Compact Espresso Maker with Milk Frother for Home, Stainless Steel Cappuccino Machine for Cappuccino, Latte, 1250W",139.99,4.7 out of 5 stars,27,https://www.amazon.com/ILAVIE-Espresso-Machine-Stainless-Cappuccino/dp/B0C58JJKH8/ref=sr_1_54?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-54,4.7
5,B0BXSDZ6LD,"20 Bar Espresso Machine, Stainless Steel Espresso Coffee Machine for Cappuccino, Latte, Espresso Maker for Home, Automatic Espresso Machine with Milk Steamer, 1.8L Water Tank, 1350W",169.99,4.5 out of 5 stars,26,https://www.amazon.com/ILAVIE-Espresso-Stainless-Cappuccino-Automatic/dp/B0BXSDZ6LD/ref=sr_1_58?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-58,4.5
6,B0C9CHX4QJ,"JASSY Espresso Coffee Machine 20 Bar Cappuccino Machines with Temperature Dial for Barista Brewing with Powful Milk Frother for Cappuccino/Mocha/Latte,1200W",159.99,4.8 out of 5 stars,180,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODUxNjg3NTk0OTg0MzI5OjE2ODg0MDAxNDM6c3BfYXRmX25leHQ6MzAwMDA1MjcyMDgzNTAyOjowOjo&url=%2FJASSY-Espresso-Cappuccino-Machines-Temperature%2Fdp%2FB0C9CHX4QJ%2Fref%3Dsr_1_145_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400143%26sprefix%3Despress%252Caps%252C162%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.8
7,B0BZPGQZSQ,"Mecity 20 Bar Espresso Machine, Professional Cappuccino Maker with Milk Frother Steam Wand, Brushed Stainless Steel Coffee Machine 37 Oz Removable Water Reservoir, 1350W",139.99,4.6 out of 5 stars,17,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2ODcxMzk1NTk2MTkzMjQzOjE2ODg0MDAxNjk6c3BfYXRmX25leHQ6MjAwMTcwNDQxNjg4Njk4OjowOjo&url=%2FMecity-Professional-Cappuccino-Stainless-Removable%2Fdp%2FB0BZPGQZSQ%2Fref%3Dsr_1_193_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400169%26sprefix%3Despress%252Caps%252C162%26sr%3D8-193-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.6
8,B08QZSN97Z,"Ninja CFP301 DualBrew Pro Specialty 12-Cup Drip Maker with Glass Carafe, Single-Serve Grounds, compatible with K-Cup pods, with 4 Brew Styles, Frother & Separate Hot Water System, Black",210.0,4.6 out of 5 stars,8,https://www.amazon.com/Ninja-CFP301-Specialty-Single-Serve-compatible/dp/B08QZSN97Z/ref=sr_1_205?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400169&sprefix=espress%2Caps%2C162&sr=8-205,4.6
